price,taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
700.85,324.85,MAD,AUH,2024/02/28 14:00,2024/02/28 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
2544.85,358.85,MAD,AUH,2024/02/28 14:00,2024/02/28 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
2561.85,358.85,MAD,AUH,2024/02/28 14:00,2024/02/28 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
4405.85,392.85,MAD,AUH,2024/02/28 14:00,2024/02/28 23:40,UX2703,,,,,,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,,,,,
684.13,325.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
1541.13,359.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
1541.13,359.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
2397.13,393.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
2545.13,359.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
2545.13,359.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
3402.13,393.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
3402.13,393.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
4406.13,393.13,MAD,AUH,2024/02/14 10:10,2024/02/14 19:25,UX2703,,,,,,AUH,MAD,2024/04/16 02:35,2024/04/16 08:30,UX2702,,,,,
1725.79,428.78999999999996,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
1796.79,428.78999999999996,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
1796.79,428.78999999999996,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
1867.79,428.78999999999996,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
4381.89,808.89,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
4452.89,808.89,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
4461.89,808.89,JFK,MAD,2024/02/14 19:30,2024/02/15 08:45,UX3392,MAD,AUH,2024/02/15 14:00,2024/02/15 23:40,UX2703,AUH,MAD,2024/04/16 07:30,2024/04/16 12:30,UX2702,MAD,JFK,2024/04/17 10:45,2024/04/17 13:30,UX3391
